Complaint_Text,Category,Sentiment,Priority,Village,Date,Pincode,lang,Standardized_Complaint
शाळेची इमारत खराब झाली आहे.,Health,Positive,Medium,Pandare,2025-05-31,413103,mr,other_issue
Road conditions are very poor and dangerous.,Water,Neutral,High,Baramati,2025-03-17,413102,en,other_issue
वीज पुरवठा अनियमित आहे.,Water,Positive,High,Baramati,2024-10-20,413102,mr,other_issue
रस्त्याची स्थिती अतिशय खराब आहे.,Education,Positive,Low,Morgaon,2024-08-13,413304,mr,other_issue
Sanitation facilities are not adequate in the village.,Education,Neutral,Low,Katphal,2025-01-24,413111,en,other_issue
No water supply in the village since several days.,Education,Neutral,Low,Morgaon,2025-07-15,413304,en,no water supply
No water supply in the village since several days.,Education,Positive,Low,Pandare,2025-01-23,413103,en,no water supply
वीज पुरवठा अनियमित आहे.,Water,Positive,High,Pandare,2024-11-26,413103,mr,other_issue
वीज पुरवठा अनियमित आहे.,Electricity,Negative,High,Supa,2025-03-02,413109,mr,other_issue
Electricity supply is irregular in our area.,Electricity,Negative,High,Morgaon,2024-09-02,413304,en,other_issue
Electricity supply is irregular in our area.,Sanitation,Neutral,High,Malegaon,2024-12-14,413115,en,other_issue
Road conditions are very poor and dangerous.,Education,Positive,Low,Someshwar,2025-06-08,412306,en,other_issue
Road conditions are very poor and dangerous.,Water,Neutral,High,Someshwar,2024-11-03,412306,en,other_issue
No water supply in the village since several days.,Water,Positive,High,Baramati,2024-09-24,413102,en,no water supply
रस्त्याची स्थिती अतिशय खराब आहे.,Sanitation,Negative,Medium,Nimbut,2025-07-21,413110,mr,other_issue
Sanitation facilities are not adequate in the village.,Sanitation,Neutral,Low,Someshwar,2025-07-06,412306,en,other_issue
वीज पुरवठा अनियमित आहे.,Health,Negative,Medium,Someshwar,2025-06-24,412306,mr,other_issue
No water supply in the village since several days.,Health,Neutral,Low,Supa,2025-03-18,413109,en,no water supply
Electricity supply is irregular in our area.,Education,Neutral,Low,Baramati,2024-02-24,413102,en,other_issue
No water supply in the village since several days.,Water,Negative,High,Morgaon,2024-08-10,413304,en,no water supply
Sanitation facilities are not adequate in the village.,Road,Positive,Medium,Someshwar,2025-06-26,412306,en,other_issue
School building is damaged and unsafe.,Electricity,Negative,High,Supa,2025-04-15,413109,en,other_issue
गावातील स्वच्छता सुविधा अपुरी आहेत.,Electricity,Positive,High,Nimbut,2024-08-12,413110,mr,other_issue
Medicines are not available at the PHC.,Health,Positive,Medium,Katphal,2024-12-27,413111,en,medicines not available
Electricity supply is irregular in our area.,Sanitation,Positive,Low,Malegaon,2025-08-30,413115,en,other_issue
No water supply in the village since several days.,Sanitation,Positive,High,Baramati,2024-04-20,413102,en,no water supply
गावातील स्वच्छता सुविधा अपुरी आहेत.,Electricity,Negative,High,Malegaon,2024-11-11,413115,mr,other_issue
शाळेची इमारत खराब झाली आहे.,Road,Negative,Low,Morgaon,2024-03-10,413304,mr,other_issue
Sanitation facilities are not adequate in the village.,Water,Neutral,High,Malegaon,2024-06-10,413115,en,other_issue
School building is damaged and unsafe.,Health,Neutral,Medium,Katphal,2025-02-08,413111,en,other_issue
रस्त्याची स्थिती अतिशय खराब आहे.,Education,Negative,Low,Baramati,2024-11-21,413102,mr,other_issue
Medicines are not available at the PHC.,Sanitation,Positive,Medium,Someshwar,2025-09-15,412306,en,medicines not available
Sanitation facilities are not adequate in the village.,Health,Negative,High,Malegaon,2024-08-28,413115,en,other_issue
School building is damaged and unsafe.,Water,Neutral,High,Malegaon,2024-12-09,413115,en,other_issue
रस्त्याची स्थिती अतिशय खराब आहे.,Sanitation,Negative,High,Malegaon,2025-01-08,413115,mr,other_issue
No water supply in the village since several days.,Sanitation,Negative,Medium,Pandare,2024-06-15,413103,en,no water supply
Road conditions are very poor and dangerous.,Education,Negative,Low,Baramati,2024-09-29,413102,en,other_issue
Sanitation facilities are not adequate in the village.,Health,Negative,High,Nimbut,2025-09-14,413110,en,other_issue
Electricity supply is irregular in our area.,Health,Negative,High,Morgaon,2024-07-09,413304,en,other_issue
No water supply in the village since several days.,Education,Positive,Low,Someshwar,2024-04-18,412306,en,no water supply
Sanitation facilities are not adequate in the village.,Education,Negative,Low,Someshwar,2024-02-19,412306,en,other_issue
Electricity supply is irregular in our area.,Water,Positive,High,Malegaon,2025-04-21,413115,en,other_issue
Electricity supply is irregular in our area.,Road,Negative,Low,Katphal,2024-08-25,413111,en,other_issue
Medicines are not available at the PHC.,Sanitation,Negative,High,Katphal,2024-05-25,413111,en,medicines not available
वीज पुरवठा अनियमित आहे.,Health,Neutral,Low,Supa,2024-09-25,413109,mr,other_issue
No water supply in the village since several days.,Electricity,Neutral,High,Malegaon,2024-07-28,413115,en,no water supply
Medicines are not available at the PHC.,Electricity,Negative,High,Pandare,2025-04-30,413103,en,medicines not available
Electricity supply is irregular in our area.,Education,Positive,Low,Nimbut,2024-11-15,413110,en,other_issue
School building is damaged and unsafe.,Electricity,Neutral,High,Someshwar,2024-12-20,412306,en,other_issue
School building is damaged and unsafe.,Road,Positive,High,Morgaon,2024-01-30,413304,en,other_issue
वीज पुरवठा अनियमित आहे.,Water,Neutral,High,Katphal,2025-01-20,413111,mr,other_issue
Medicines are not available at the PHC.,Road,Positive,Low,Malegaon,2025-03-05,413115,en,medicines not available
गावातील स्वच्छता सुविधा अपुरी आहेत.,Education,Positive,Low,Someshwar,2024-01-16,412306,mr,other_issue
रस्त्याची स्थिती अतिशय खराब आहे.,Electricity,Negative,High,Morgaon,2025-06-22,413304,mr,other_issue
Electricity supply is irregular in our area.,Electricity,Positive,High,Morgaon,2025-08-01,413304,en,other_issue
Road conditions are very poor and dangerous.,Road,Positive,Low,Morgaon,2024-10-18,413304,en,other_issue
Road conditions are very poor and dangerous.,Health,Negative,High,Morgaon,2025-05-08,413304,en,other_issue
Electricity supply is irregular in our area.,Education,Negative,Low,Malegaon,2024-08-30,413115,en,other_issue
रस्त्याची स्थिती अतिशय खराब आहे.,Sanitation,Negative,Medium,Nimbut,2025-06-27,413110,mr,other_issue
Electricity supply is irregular in our area.,Electricity,Neutral,High,Someshwar,2025-05-18,412306,en,other_issue
Road conditions are very poor and dangerous.,Road,Neutral,Low,Someshwar,2025-08-16,412306,en,other_issue
रस्त्याची स्थिती अतिशय खराब आहे.,Health,Negative,Medium,Katphal,2025-05-19,413111,mr,other_issue
Sanitation facilities are not adequate in the village.,Road,Positive,Medium,Pandare,2024-08-05,413103,en,other_issue
No water supply in the village since several days.,Water,Negative,High,Morgaon,2024-01-13,413304,en,no water supply
Road conditions are very poor and dangerous.,Health,Neutral,Low,Katphal,2025-01-18,413111,en,other_issue
Road conditions are very poor and dangerous.,Sanitation,Neutral,High,Someshwar,2024-04-24,412306,en,other_issue
रस्त्याची स्थिती अतिशय खराब आहे.,Road,Positive,Medium,Supa,2024-12-09,413109,mr,other_issue
Road conditions are very poor and dangerous.,Sanitation,Neutral,Low,Katphal,2024-02-23,413111,en,other_issue
Electricity supply is irregular in our area.,Water,Positive,High,Someshwar,2025-07-13,412306,en,other_issue
गावात पाणी पुरवठा काही दिवसांपासून नाही.,Electricity,Neutral,High,Morgaon,2025-07-24,413304,mr,other_issue
रस्त्याची स्थिती अतिशय खराब आहे.,Sanitation,Positive,High,Nimbut,2025-07-09,413110,mr,other_issue
No water supply in the village since several days.,Road,Positive,Low,Morgaon,2024-12-08,413304,en,no water supply
Medicines are not available at the PHC.,Water,Negative,High,Supa,2025-02-10,413109,en,medicines not available
गावात पाणी पुरवठा काही दिवसांपासून नाही.,Education,Negative,Low,Katphal,2024-02-28,413111,mr,other_issue
Electricity supply is irregular in our area.,Road,Neutral,High,Morgaon,2025-06-25,413304,en,other_issue
Sanitation facilities are not adequate in the village.,Education,Neutral,Low,Baramati,2025-04-23,413102,en,other_issue
वीज पुरवठा अनियमित आहे.,Sanitation,Neutral,Low,Morgaon,2024-01-13,413304,mr,other_issue
Medicines are not available at the PHC.,Education,Neutral,Low,Nimbut,2025-03-12,413110,en,medicines not available
Electricity supply is irregular in our area.,Sanitation,Positive,Low,Supa,2024-09-11,413109,en,other_issue
वीज पुरवठा अनियमित आहे.,Electricity,Neutral,High,Nimbut,2024-01-23,413110,mr,other_issue
गावात पाणी पुरवठा काही दिवसांपासून नाही.,Health,Positive,Medium,Someshwar,2025-02-19,412306,mr,other_issue
गावात पाणी पुरवठा काही दिवसांपासून नाही.,Education,Positive,Low,Baramati,2025-04-20,413102,mr,other_issue
Medicines are not available at the PHC.,Sanitation,Negative,Medium,Baramati,2025-07-14,413102,en,medicines not available
Road conditions are very poor and dangerous.,Road,Positive,Low,Pandare,2025-08-02,413103,en,other_issue
Electricity supply is irregular in our area.,Education,Negative,Low,Morgaon,2024-10-31,413304,en,other_issue
Electricity supply is irregular in our area.,Water,Positive,High,Pandare,2024-05-29,413103,en,other_issue
शाळेची इमारत खराब झाली आहे.,Water,Neutral,High,Katphal,2024-03-16,413111,mr,other_issue
No water supply in the village since several days.,Water,Positive,High,Nimbut,2025-03-02,413110,en,no water supply
गावातील स्वच्छता सुविधा अपुरी आहेत.,Water,Negative,High,Pandare,2024-05-22,413103,mr,other_issue
गावातील स्वच्छता सुविधा अपुरी आहेत.,Health,Negative,Low,Pandare,2024-03-18,413103,mr,other_issue
No water supply in the village since several days.,Electricity,Positive,High,Supa,2025-06-10,413109,en,no water supply
School building is damaged and unsafe.,Sanitation,Positive,Medium,Malegaon,2024-11-15,413115,en,other_issue
Medicines are not available at the PHC.,Education,Negative,Low,Pandare,2024-02-17,413103,en,medicines not available
Medicines are not available at the PHC.,Health,Positive,Medium,Katphal,2024-08-06,413111,en,medicines not available
वीज पुरवठा अनियमित आहे.,Education,Neutral,Low,Someshwar,2024-11-29,412306,mr,other_issue
गावातील स्वच्छता सुविधा अपुरी आहेत.,Electricity,Neutral,High,Baramati,2025-03-21,413102,mr,other_issue
Medicines are not available at the PHC.,Education,Positive,Low,Nimbut,2025-03-03,413110,en,medicines not available
Sanitation facilities are not adequate in the village.,Road,Negative,High,Nimbut,2025-04-19,413110,en,other_issue
Electricity supply is irregular in our area.,Education,Neutral,Low,Pandare,2024-09-10,413103,en,other_issue
गावात पाणी पुरवठा काही दिवसांपासून नाही.,Road,Positive,Medium,Baramati,2024-10-23,413102,mr,other_issue
शाळेची इमारत खराब झाली आहे.,Electricity,Neutral,High,Pandare,2025-04-20,413103,mr,other_issue
रस्त्याची स्थिती अतिशय खराब आहे.,Sanitation,Negative,Medium,Baramati,2024-01-24,413102,mr,other_issue
शाळेची इमारत खराब झाली आहे.,Road,Neutral,High,Pandare,2024-02-25,413103,mr,other_issue
Medicines are not available at the PHC.,Water,Negative,High,Supa,2024-01-21,413109,en,medicines not available
Road conditions are very poor and dangerous.,Water,Neutral,High,Supa,2024-10-24,413109,en,other_issue
Medicines are not available at the PHC.,Water,Positive,High,Baramati,2025-02-23,413102,en,medicines not available
School building is damaged and unsafe.,Education,Positive,Low,Malegaon,2024-06-06,413115,en,other_issue
School building is damaged and unsafe.,Electricity,Positive,High,Malegaon,2025-04-22,413115,en,other_issue
Road conditions are very poor and dangerous.,Water,Negative,High,Nimbut,2024-11-19,413110,en,other_issue
रस्त्याची स्थिती अतिशय खराब आहे.,Health,Neutral,Medium,Pandare,2024-05-28,413103,mr,other_issue
Sanitation facilities are not adequate in the village.,Electricity,Positive,High,Someshwar,2024-08-08,412306,en,other_issue
गावातील स्वच्छता सुविधा अपुरी आहेत.,Health,Negative,Medium,Nimbut,2025-09-15,413110,mr,other_issue
रस्त्याची स्थिती अतिशय खराब आहे.,Sanitation,Neutral,High,Katphal,2025-06-16,413111,mr,other_issue
वीज पुरवठा अनियमित आहे.,Sanitation,Positive,Low,Malegaon,2025-07-03,413115,mr,other_issue
Electricity supply is irregular in our area.,Education,Positive,Low,Supa,2024-07-26,413109,en,other_issue
शाळेची इमारत खराब झाली आहे.,Water,Negative,High,Nimbut,2025-04-25,413110,mr,other_issue
School building is damaged and unsafe.,Water,Negative,High,Malegaon,2024-03-11,413115,en,other_issue
No water supply in the village since several days.,Education,Negative,Low,Katphal,2024-11-08,413111,en,no water supply
रस्त्याची स्थिती अतिशय खराब आहे.,Water,Positive,High,Malegaon,2025-01-17,413115,mr,other_issue
गावातील स्वच्छता सुविधा अपुरी आहेत.,Electricity,Neutral,High,Morgaon,2024-04-09,413304,mr,other_issue
Sanitation facilities are not adequate in the village.,Road,Negative,High,Supa,2024-07-24,413109,en,other_issue
Sanitation facilities are not adequate in the village.,Health,Neutral,Low,Pandare,2024-08-11,413103,en,other_issue
Medicines are not available at the PHC.,Water,Neutral,High,Morgaon,2024-03-20,413304,en,medicines not available
वीज पुरवठा अनियमित आहे.,Electricity,Neutral,High,Pandare,2024-03-02,413103,mr,other_issue
No water supply in the village since several days.,Education,Negative,Low,Baramati,2025-08-31,413102,en,no water supply
No water supply in the village since several days.,Road,Neutral,Medium,Supa,2025-06-18,413109,en,no water supply
Road conditions are very poor and dangerous.,Health,Negative,Low,Pandare,2024-05-30,413103,en,other_issue
No water supply in the village since several days.,Water,Negative,High,Nimbut,2024-12-26,413110,en,no water supply
Sanitation facilities are not adequate in the village.,Education,Neutral,Low,Nimbut,2025-05-23,413110,en,other_issue
No water supply in the village since several days.,Sanitation,Negative,High,Pandare,2024-04-04,413103,en,no water supply
Electricity supply is irregular in our area.,Electricity,Negative,High,Malegaon,2025-05-21,413115,en,other_issue
Medicines are not available at the PHC.,Health,Neutral,Low,Pandare,2024-08-21,413103,en,medicines not available
Sanitation facilities are not adequate in the village.,Road,Neutral,Medium,Baramati,2024-11-16,413102,en,other_issue
Road conditions are very poor and dangerous.,Health,Negative,Medium,Morgaon,2024-07-20,413304,en,other_issue
Road conditions are very poor and dangerous.,Education,Neutral,Low,Malegaon,2024-05-23,413115,en,other_issue
गावातील स्वच्छता सुविधा अपुरी आहेत.,Electricity,Neutral,High,Supa,2024-10-13,413109,mr,other_issue
Medicines are not available at the PHC.,Water,Negative,High,Katphal,2025-07-04,413111,en,medicines not available
School building is damaged and unsafe.,Road,Positive,Medium,Morgaon,2024-06-27,413304,en,other_issue
Medicines are not available at the PHC.,Water,Negative,High,Morgaon,2024-01-06,413304,en,medicines not available
वीज पुरवठा अनियमित आहे.,Road,Neutral,High,Katphal,2024-10-20,413111,mr,other_issue
वीज पुरवठा अनियमित आहे.,Road,Positive,High,Malegaon,2024-09-23,413115,mr,other_issue
शाळेची इमारत खराब झाली आहे.,Electricity,Positive,High,Someshwar,2025-04-17,412306,mr,other_issue
गावात पाणी पुरवठा काही दिवसांपासून नाही.,Electricity,Negative,High,Katphal,2024-12-05,413111,mr,other_issue
रस्त्याची स्थिती अतिशय खराब आहे.,Road,Neutral,Medium,Supa,2025-02-04,413109,mr,other_issue
Road conditions are very poor and dangerous.,Health,Positive,Low,Pandare,2024-10-01,413103,en,other_issue
No water supply in the village since several days.,Health,Neutral,High,Katphal,2025-05-17,413111,en,no water supply
रस्त्याची स्थिती अतिशय खराब आहे.,Electricity,Positive,High,Malegaon,2025-03-23,413115,mr,other_issue
वीज पुरवठा अनियमित आहे.,Water,Negative,High,Supa,2024-02-03,413109,mr,other_issue
No water supply in the village since several days.,Road,Negative,Medium,Nimbut,2024-03-22,413110,en,no water supply
No water supply in the village since several days.,Road,Neutral,Medium,Malegaon,2025-04-18,413115,en,no water supply
Medicines are not available at the PHC.,Water,Positive,High,Malegaon,2024-05-28,413115,en,medicines not available
No water supply in the village since several days.,Education,Positive,Low,Katphal,2025-01-05,413111,en,no water supply
No water supply in the village since several days.,Education,Negative,Low,Nimbut,2024-08-30,413110,en,no water supply
गावातील स्वच्छता सुविधा अपुरी आहेत.,Electricity,Negative,High,Katphal,2024-05-19,413111,mr,other_issue
रस्त्याची स्थिती अतिशय खराब आहे.,Road,Neutral,Low,Katphal,2025-05-16,413111,mr,other_issue
वीज पुरवठा अनियमित आहे.,Water,Neutral,High,Baramati,2024-09-09,413102,mr,other_issue
Road conditions are very poor and dangerous.,Sanitation,Negative,Low,Pandare,2024-05-20,413103,en,other_issue
रस्त्याची स्थिती अतिशय खराब आहे.,Road,Negative,Medium,Malegaon,2024-03-07,413115,mr,other_issue
No water supply in the village since several days.,Water,Negative,High,Morgaon,2024-02-21,413304,en,no water supply
Medicines are not available at the PHC.,Electricity,Neutral,High,Someshwar,2024-03-01,412306,en,medicines not available
शाळेची इमारत खराब झाली आहे.,Road,Neutral,High,Katphal,2025-07-28,413111,mr,other_issue
Sanitation facilities are not adequate in the village.,Road,Negative,Medium,Malegaon,2025-03-03,413115,en,other_issue
रस्त्याची स्थिती अतिशय खराब आहे.,Education,Negative,Low,Malegaon,2024-12-22,413115,mr,other_issue
Medicines are not available at the PHC.,Electricity,Positive,High,Nimbut,2024-12-27,413110,en,medicines not available
Medicines are not available at the PHC.,Education,Positive,Low,Someshwar,2024-09-07,412306,en,medicines not available
No water supply in the village since several days.,Sanitation,Positive,Low,Someshwar,2025-07-04,412306,en,no water supply
Medicines are not available at the PHC.,Road,Positive,High,Supa,2025-02-14,413109,en,medicines not available
Sanitation facilities are not adequate in the village.,Sanitation,Positive,High,Malegaon,2024-12-23,413115,en,other_issue
Sanitation facilities are not adequate in the village.,Road,Neutral,High,Morgaon,2024-08-29,413304,en,other_issue
Sanitation facilities are not adequate in the village.,Water,Neutral,High,Katphal,2024-09-18,413111,en,other_issue
शाळेची इमारत खराब झाली आहे.,Health,Positive,Low,Supa,2025-01-03,413109,mr,other_issue
Sanitation facilities are not adequate in the village.,Electricity,Positive,High,Morgaon,2025-08-06,413304,en,other_issue
Medicines are not available at the PHC.,Health,Negative,High,Supa,2025-04-19,413109,en,medicines not available
Medicines are not available at the PHC.,Health,Neutral,Medium,Someshwar,2025-05-09,412306,en,medicines not available
गावातील स्वच्छता सुविधा अपुरी आहेत.,Electricity,Neutral,High,Supa,2024-08-10,413109,mr,other_issue
Sanitation facilities are not adequate in the village.,Electricity,Positive,High,Baramati,2024-08-12,413102,en,other_issue
रस्त्याची स्थिती अतिशय खराब आहे.,Health,Negative,High,Pandare,2024-09-25,413103,mr,other_issue
Electricity supply is irregular in our area.,Sanitation,Neutral,Low,Malegaon,2024-10-28,413115,en,other_issue
Medicines are not available at the PHC.,Water,Neutral,High,Baramati,2025-06-24,413102,en,medicines not available
गावात पाणी पुरवठा काही दिवसांपासून नाही.,Road,Neutral,High,Nimbut,2024-06-11,413110,mr,other_issue
Electricity supply is irregular in our area.,Health,Neutral,Medium,Morgaon,2024-09-08,413304,en,other_issue
Medicines are not available at the PHC.,Road,Positive,Medium,Supa,2024-08-26,413109,en,medicines not available
Medicines are not available at the PHC.,Education,Negative,Low,Katphal,2024-04-03,413111,en,medicines not available
गावात पाणी पुरवठा काही दिवसांपासून नाही.,Health,Negative,High,Katphal,2024-10-11,413111,mr,other_issue
गावातील स्वच्छता सुविधा अपुरी आहेत.,Electricity,Negative,High,Katphal,2024-06-30,413111,mr,other_issue
No water supply in the village since several days.,Education,Neutral,Low,Katphal,2024-01-25,413111,en,no water supply
गावात पाणी पुरवठा काही दिवसांपासून नाही.,Electricity,Negative,High,Morgaon,2025-07-11,413304,mr,other_issue
Medicines are not available at the PHC.,Health,Neutral,Medium,Morgaon,2025-06-30,413304,en,medicines not available
Electricity supply is irregular in our area.,Sanitation,Neutral,Low,Katphal,2025-08-10,413111,en,other_issue
शाळेची इमारत खराब झाली आहे.,Water,Neutral,High,Pandare,2025-05-19,413103,mr,other_issue
वीज पुरवठा अनियमित आहे.,Road,Neutral,Medium,Supa,2024-02-14,413109,mr,other_issue
No water supply in the village since several days.,Road,Neutral,Low,Baramati,2024-09-28,413102,en,no water supply
Road conditions are very poor and dangerous.,Water,Positive,High,Pandare,2025-06-17,413103,en,other_issue
Electricity supply is irregular in our area.,Water,Positive,High,Morgaon,2024-04-22,413304,en,other_issue
Sanitation facilities are not adequate in the village.,Sanitation,Neutral,Low,Baramati,2025-01-18,413102,en,other_issue
शाळेची इमारत खराब झाली आहे.,Road,Positive,Low,Morgaon,2025-09-11,413304,mr,other_issue
No water supply in the village since several days.,Electricity,Positive,High,Pandare,2025-09-06,413103,en,no water supply
वीज पुरवठा अनियमित आहे.,Water,Neutral,High,Baramati,2024-11-28,413102,mr,other_issue
School building is damaged and unsafe.,Health,Negative,High,Malegaon,2025-06-22,413115,en,other_issue
वीज पुरवठा अनियमित आहे.,Health,Positive,Low,Katphal,2024-08-19,413111,mr,other_issue
Medicines are not available at the PHC.,Education,Neutral,Low,Malegaon,2025-05-12,413115,en,medicines not available
Electricity supply is irregular in our area.,Health,Neutral,Medium,Nimbut,2025-03-18,413110,en,other_issue
No water supply in the village since several days.,Sanitation,Negative,Low,Baramati,2024-05-20,413102,en,no water supply
रस्त्याची स्थिती अतिशय खराब आहे.,Health,Neutral,High,Morgaon,2024-07-31,413304,mr,other_issue
No water supply in the village since several days.,Sanitation,Neutral,Low,Baramati,2025-06-03,413102,en,no water supply
Medicines are not available at the PHC.,Education,Neutral,Low,Pandare,2025-08-25,413103,en,medicines not available
Medicines are not available at the PHC.,Water,Positive,High,Supa,2024-07-07,413109,en,medicines not available
रस्त्याची स्थिती अतिशय खराब आहे.,Electricity,Positive,High,Someshwar,2024-01-31,412306,mr,other_issue
School building is damaged and unsafe.,Education,Negative,Low,Baramati,2024-08-16,413102,en,other_issue
रस्त्याची स्थिती अतिशय खराब आहे.,Electricity,Positive,High,Malegaon,2024-12-29,413115,mr,other_issue
गावात पाणी पुरवठा काही दिवसांपासून नाही.,Road,Negative,Low,Katphal,2024-10-08,413111,mr,other_issue
Electricity supply is irregular in our area.,Electricity,Neutral,High,Katphal,2024-06-07,413111,en,other_issue
शाळेची इमारत खराब झाली आहे.,Health,Positive,High,Nimbut,2025-06-18,413110,mr,other_issue
Sanitation facilities are not adequate in the village.,Education,Neutral,Low,Malegaon,2024-02-19,413115,en,other_issue
No water supply in the village since several days.,Education,Neutral,Low,Malegaon,2024-08-11,413115,en,no water supply
गावात पाणी पुरवठा काही दिवसांपासून नाही.,Sanitation,Neutral,Medium,Malegaon,2024-04-13,413115,mr,other_issue
Road conditions are very poor and dangerous.,Road,Negative,Low,Baramati,2025-09-14,413102,en,other_issue
Medicines are not available at the PHC.,Water,Positive,High,Morgaon,2025-04-09,413304,en,medicines not available
Electricity supply is irregular in our area.,Sanitation,Negative,High,Baramati,2024-02-08,413102,en,other_issue
गावातील स्वच्छता सुविधा अपुरी आहेत.,Road,Positive,High,Katphal,2024-07-07,413111,mr,other_issue
रस्त्याची स्थिती अतिशय खराब आहे.,Sanitation,Neutral,High,Malegaon,2025-02-19,413115,mr,other_issue
रस्त्याची स्थिती अतिशय खराब आहे.,Education,Negative,Low,Morgaon,2024-10-03,413304,mr,other_issue
गावातील स्वच्छता सुविधा अपुरी आहेत.,Sanitation,Negative,High,Malegaon,2024-11-02,413115,mr,other_issue
गावात पाणी पुरवठा काही दिवसांपासून नाही.,Water,Positive,High,Baramati,2025-06-27,413102,mr,other_issue
रस्त्याची स्थिती अतिशय खराब आहे.,Health,Neutral,Low,Morgaon,2024-08-30,413304,mr,other_issue
गावात पाणी पुरवठा काही दिवसांपासून नाही.,Electricity,Positive,High,Pandare,2025-01-31,413103,mr,other_issue
गावात पाणी पुरवठा काही दिवसांपासून नाही.,Health,Neutral,Medium,Katphal,2024-12-31,413111,mr,other_issue
Medicines are not available at the PHC.,Electricity,Positive,High,Katphal,2024-11-28,413111,en,medicines not available
शाळेची इमारत खराब झाली आहे.,Water,Neutral,High,Katphal,2024-11-19,413111,mr,other_issue
गावातील स्वच्छता सुविधा अपुरी आहेत.,Electricity,Positive,High,Supa,2024-11-01,413109,mr,other_issue
Electricity supply is irregular in our area.,Electricity,Negative,High,Someshwar,2024-09-19,412306,en,other_issue
No water supply in the village since several days.,Education,Neutral,Low,Morgaon,2024-10-26,413304,en,no water supply
Electricity supply is irregular in our area.,Water,Positive,High,Pandare,2024-10-02,413103,en,other_issue
Medicines are not available at the PHC.,Electricity,Neutral,High,Katphal,2025-03-11,413111,en,medicines not available
Medicines are not available at the PHC.,Sanitation,Positive,Medium,Pandare,2025-07-30,413103,en,medicines not available
Road conditions are very poor and dangerous.,Education,Neutral,Low,Morgaon,2025-04-12,413304,en,other_issue
Sanitation facilities are not adequate in the village.,Road,Neutral,Low,Baramati,2024-04-02,413102,en,other_issue
School building is damaged and unsafe.,Water,Negative,High,Katphal,2025-05-18,413111,en,other_issue
रस्त्याची स्थिती अतिशय खराब आहे.,Education,Negative,Low,Morgaon,2024-07-22,413304,mr,other_issue
Electricity supply is irregular in our area.,Water,Negative,High,Baramati,2024-09-05,413102,en,other_issue
Sanitation facilities are not adequate in the village.,Road,Neutral,Medium,Baramati,2025-09-04,413102,en,other_issue
गावात पाणी पुरवठा काही दिवसांपासून नाही.,Electricity,Negative,High,Baramati,2025-08-29,413102,mr,other_issue
वीज पुरवठा अनियमित आहे.,Health,Negative,Low,Pandare,2025-04-17,413103,mr,other_issue
Road conditions are very poor and dangerous.,Electricity,Neutral,High,Supa,2025-05-21,413109,en,other_issue
School building is damaged and unsafe.,Sanitation,Negative,Medium,Someshwar,2024-12-03,412306,en,other_issue
गावात पाणी पुरवठा काही दिवसांपासून नाही.,Electricity,Positive,High,Someshwar,2024-04-02,412306,mr,other_issue
Electricity supply is irregular in our area.,Education,Neutral,Low,Pandare,2025-08-11,413103,en,other_issue
School building is damaged and unsafe.,Education,Positive,Low,Nimbut,2024-11-07,413110,en,other_issue
School building is damaged and unsafe.,Water,Positive,High,Supa,2024-04-30,413109,en,other_issue
Road conditions are very poor and dangerous.,Electricity,Negative,High,Baramati,2025-02-01,413102,en,other_issue
गावातील स्वच्छता सुविधा अपुरी आहेत.,Sanitation,Positive,Medium,Katphal,2025-08-12,413111,mr,other_issue
Sanitation facilities are not adequate in the village.,Water,Neutral,High,Someshwar,2025-05-19,412306,en,other_issue
Medicines are not available at the PHC.,Water,Positive,High,Supa,2025-01-06,413109,en,medicines not available
वीज पुरवठा अनियमित आहे.,Road,Positive,Medium,Pandare,2025-05-30,413103,mr,other_issue
School building is damaged and unsafe.,Health,Neutral,High,Supa,2024-07-21,413109,en,other_issue
No water supply in the village since several days.,Road,Positive,Low,Malegaon,2024-05-31,413115,en,no water supply
No water supply in the village since several days.,Water,Negative,High,Supa,2024-09-01,413109,en,no water supply
गावात पाणी पुरवठा काही दिवसांपासून नाही.,Water,Positive,High,Pandare,2025-08-24,413103,mr,other_issue
No water supply in the village since several days.,Road,Positive,Medium,Someshwar,2024-01-26,412306,en,no water supply
No water supply in the village since several days.,Electricity,Neutral,High,Katphal,2024-05-23,413111,en,no water supply
गावात पाणी पुरवठा काही दिवसांपासून नाही.,Water,Neutral,High,Malegaon,2025-02-10,413115,mr,other_issue
शाळेची इमारत खराब झाली आहे.,Electricity,Neutral,High,Morgaon,2024-06-01,413304,mr,other_issue
रस्त्याची स्थिती अतिशय खराब आहे.,Sanitation,Negative,Medium,Katphal,2024-03-09,413111,mr,other_issue
No water supply in the village since several days.,Road,Negative,High,Katphal,2025-04-17,413111,en,no water supply
Road conditions are very poor and dangerous.,Health,Negative,Medium,Someshwar,2024-08-15,412306,en,other_issue
Medicines are not available at the PHC.,Electricity,Positive,High,Baramati,2024-02-20,413102,en,medicines not available
Sanitation facilities are not adequate in the village.,Water,Negative,High,Katphal,2025-05-08,413111,en,other_issue
School building is damaged and unsafe.,Water,Neutral,High,Supa,2024-05-06,413109,en,other_issue
Electricity supply is irregular in our area.,Road,Positive,Medium,Morgaon,2024-02-14,413304,en,other_issue
School building is damaged and unsafe.,Health,Positive,Low,Baramati,2025-01-21,413102,en,other_issue
शाळेची इमारत खराब झाली आहे.,Education,Negative,Low,Malegaon,2025-05-16,413115,mr,other_issue
